Patología,Medicamentos,Observaciones,Acciones
Ascitis Refractaria,(*) Paracentesis Diagnóstica; para descartar PBE. (*) Paracentesis Evacuadora (*) Albúmina 20% EV. DI: 8 gr/ Litro evacuado (Desde los 5 litros evacuados). (*) Qx: TIPS (Contraindicada en Encefalopatía +) Trasplante Hepático: único curativo.,No responde a Diuréticos.,
Ascitis simple,"MG: Restricción de agua y sal. (*) Espironolactona 25 mg comprimidos.  DI: 25-50 mg cada 6-8 hrs.  DMax: 400 mg/día (ac) Furosemida 40 mg comprimidos.  DI: 40- 80 mg cada 12 hrs, luego cada 6-8 hrs.  DMax: 160 mg/día","Diuréticos en dosis altas + Restricción Agua y Sal. Dg: Clínico: Aumento de perímetro abdominal, matidez desplazable, signo de la ola. Pedir: Ecografía abdominal. Albúmina plasmática. (i) Profilaxis PBE si tuvo una PBE, o si la Albumina <1.5 mg/dl",
Asfixia por inmersion,"(*) Reanimación Cardiopulmonar - RCP Evaluar: Intubación orotraqueal - TOT - una vez estable. Hospitalizar en UCI- UTI Soporte Respiratorio: Ventilación Mecánica Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. DP: 0.1 mg/Kg EV SOS Normotermia Normoglicemia. Inducir coma, en casos severos.",Educar a padres: Nunca dejar niños solos en piscinas o tinas.,
Asma,"MG: Evitar alergenos, uso de mascarilla, uso de Aerocamara. Antihistamínicos. (*) Budesonida 200 mcg. DI: 1 puff c 12 hrs con AEC.  NC: Budasmal (*) Fluticasona 125-250 mcg. DI: 1 puff c 12 hrs con AEC. NC: Flixotide. Flusona. Fluticort. (ac) Salbutamol 100 mcg. DI: 1-2 puff SOS con AEC. NC: Sinasmal. (ac) Ipratropio 20 mcg. DI: 1-2 puff SOS con AEC. NC: Atrovent. Aerotrop. Salmeterol 25 mcg. DI: 1 puff c 12 hrs. NC: Bromex. Brexotide. Seretide. Formoterol 4.5-9 mcg. DI: 1 puff c 12 hrs. Bronlival - Neumocort plus - Symbicort. Tiotropio 2.5-18 mcg. DI: 1 puff c 12 hrs.  NC: Tiosynt. Spiriva. (i) En Cardiopata o Taquicardia por SBT. Montelukast 4-5-10 mg. DI: 1 comp diario en noche. NC: Asventol. Monkast. Lukanex. Singulair. Zafrilukast 10-20 mg. DI: 10 mg dia. NC: Accolate Prednisona 5-20 mg. DI: 1 comp diario VO.",(i) Educar uso de Inhalador con Aerocamara. Dg: Clínico. Apoyo con Espirometría (VEF1/CVF <70% que Mejora >15% con SBT) Pedir: Test de Metacolina en asintomáticos. (i) Tratamiento es Escalado: Corticoide Inh es la base (Budesonida o Fluticasona) + SBT SOS o Ipratropio (En Cardiópata o taquicardia por SBT) Evaluar severidad con la clínica. NC: Bronlival - Neumocort plus - Symbicort: 160/4.5 Budesonida/Formoterol NC: Seretide - Brexotide - Bromex: 25/125-250 Salmeterol/Fluticasona,
Astigmatismo,Lentes ópticos Cilíndricos.,"Mas frecuente, alteración en curvatura ocular, imagen se refleja Delante y Detrás de retina. Dg: Optometria. Ve mal de lejos y cerca.",
Atrapamiento nervio cubital,(*) Electromiografía EMG. Ecografía articular de codo. Buscar causa y tratar. IC a Kinesiología motora IC a Traumatología Qx: Liberación de atrapamiento.,"Compromete desde mitad de dedo anular a dedo meñique con parestesias nocturnas, termoalgesia, debilidad a la flexión. Signos: Tinel - Phalen positivos. (i) Descartar: Hipotiroidismo, Diabetes DM2, Artritis reumatoide.",
Atrapamiento nervio radial,(*) Electromiografía EMG. Ecografía articular de codo. Buscar causa y tratar. IC a Kinesiología motora IC a Traumatología Qx: Liberación de atrapamiento.,"Compromete dedo anular y medio con parestesias nocturnas, termoalgesia, debilidad a la flexión de dedo y muñeca, afecta el reflejo tricipital. (i) Descartar: Hipotiroidismo, Diabetes DM2, Artritis reumatoide.",
Atresia de coanas,"Soporte ventilación Oxigeno con mascarilla IC a Cirujano Pediátrico, IC a Otorrinolaringólogo ORL Qx: apertura de coanas.","% Congénita, afectación respiratoria mas grave, pues los recién nacidos solo respiran por nariz.",
Bacteriuria Asintomática (BA) - Orina Turbia,"MG: Observar, No se tratan, aunque sea BLEE+ (i) Excepto embarazadas con BA; Pedir Uro cultivo = ITU baja Cefadroxilo 500 mg. DI: 500 mg cada 12 horas por 3 días.","BA = Urocultivo (+) sin Sintomas o solo orina turbia. No pedir Urocultivo a paciente Asintomatico, si a embarazadas. (i) Si presenta durante embarazo >=2 cuadros de ITU y/o BA debe hacer Profilaxis hasta el parto.",
Balanitis - Balanopostitis jovenes - adultos,(*) Fluconazol 150 mg comprimidos. DI: 1 comprimido diario por 1 vez. (ac) Clotrimazol 1% crema topica. Uso: aplicar cada 12 horas por 7 dias.,"% Candida Albicans. Glande con eritema, prurito, edema y secreción blanquecina. (i) En adultos: descartar VIH y DM2.",
Balanitis - Balanopostitis Niños.,(*) Cloxacilina 500 mg comprimido. DP: 50 mg/kg/día cada 6-8 hrs por 5 días. (ac) Flucloxacilina 250 mg/ml jarabe. DP: 50 mg/kg/dia cada 6-8 hrs por 5 días. Flucloxacilina 500 mg comprimido. DP: 50 mg/kg/dia cada 6-8 hrs por 5 días. Cefadroxilo 250 mg/5ml jarabe. DP: 30-50 mg/kg/dia cada 12 hrs por 5 días. Qx: Circuncidar en caso de ser por Fimosis.,"% St. Aureus / G + (i) Secreción purulenta, edema en glande y prepucio. Complicación frecuente en Fimosis.",
Balthazar grados,"A: Páncreas normal. B: Aumento de tamaño focal o difuso del páncreas. Incluyendo: contornos irregulares, atenuación heterogénea del páncreas, dilatación del ducto pancreático, pequeñas colecciones líquidas dentro del páncreas, sin evidencia de enfermedad peri pancreática. C: Alteraciones pancreáticas intrínsecas asociadas con: aumento de la densidad peripancreática difusa y parcial, que representa cambios inflamatorios en la grasa. D: Colección líquida única mal definida. E: Dos o múltiples colecciones líquidas pobremente definidas o presencia de gas en o adyacente al páncreas.",Estadios de gravedad en pancreatitis aguda según las alteraciones en la TC. CALCULADORA: https://www.rccc.eu/calculadoras/balthazar.html,
Banderas de alarma o Rojas en Gastroenterologia - Obs Cancer Gastrointestinal,"A- Anemia o uso de AINEs crónico. B- Baja de peso. C- Cambio en síntomas (Aumentan, cambian o empeoran) D- Disfagia E- Edad > 50 años (inicio de síntomas a mas edad) F- Familiares con Cáncer. (antecedente 1er o 2do Grado) G- Úlcera Gastroduodenal. H- Hemorragias alta o baja. N- Síntomas Nocturnos (despiertan o aumentan en la noche) Otros: Fiebre, Lienteria, Esteatorrea, Pujo y Tenesmo.","% Úlcera péptica, Cáncer, Hemorragia digestiva, H. Pylori, Malabsorción, Enfermedad inflamatoria intestinal. (i) Pedir exámenes de imagen y laboratorio. Endoscopia digestiva alta (EDA), Recto - Colonoscopia. Deposiciones ocultas, hemograma, Test de Sudán.",
Banderas Rojas de Cefalea - Signos de Alarma,"- Cefalea de comienzo súbito - Empeoramiento reciente de una cefalea crónica - Cefalea de frecuencia y/o intensidad creciente - Localización unilateral estricta . - Cefalea con: trastorno de conducto o comportamiento, crisis epiléptica, focalidad o alteración neurológica focal, edema de papila o papiledema, fiebre. - Nauseas y vómitos intensos o explosivos. - Presencia de signos meníngeos. - Cefalea desencadenada al esfuerzo físico, tos o cambio postural. - Cefalea atípica. - Cefalea refractaria a tratamiento adecuado. - Cefalea de inicio en edades extremas. - Cefalea de predominio nocturno. - Pacientes oncológicos o inmunocomprometidos.","(i) TAC de cerebro sin contraste, Eco Doppler carotideo y vertebral. Hospitalizar en caso de focalidad o cuadro intenso máximo, trueno (HSA), Signos de HTEC: Vomitos, nauseas, compromiso de conciencia. Signos meníngeos, rigidez nucal. Convulsiones, edema papila, disminución agudeza visual, Fiebre alta.",
Blefaritis,MG: Aseo ocular local. Manejo de causa.,"Inflamación de parpados, con eritema y descamación. % Rosácea, sequedad ocular, dermatitis de contacto, conjuntivitis.",
Bronquiectasia,"(*) Kinesioterapia Respiratoria Drenaje postural Kinesiologico. Amoxicilina/Acido clavulanico 875/125 mg. DI: 1 comp c 12 hrs por 7 días (SOS) Azitromicina 500 mg. DI: 1 comp al dia, por 5 días. (SOS) Qx en caso de causa localizada como Cuerpo extraño.","Dilatación bronquial permanente e irreversible. Clínica: Tos y Broncorrea crónica matinal y Hemoptisis (leve-masiva), NAC recurrente. Antecedentes: TBC, NAC x ADV o Sarampión, cuerpo extraño. Fibrosis Quística. Dg: TAC de Tórax de corte fino.",
Bronquiolitis,"(*) Paracetamol gotas.  DP: 3-5 gotas por kg, cada 8 horas. NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg/5 ml. DP: 15 – 20 mg/kg/dosis cada 8 horas.  NC: Kitadol infantil. Panadol. Salbutamol puf  DI: 2 puf c 6 horas por 7 días con Aero cámara.","(i) % VRS. Lactante 1er SBO. Aseo nasal, mantener Lactancia materna exclusiva.",
Bronquitis cronica - Tos del Fumador,"MG: Dejar de Fumar. Chicle nicotina 2 mg. DI: 1 en caso de querer fumar (30 chicles). NC: Nicorette. Parche nicotina 21 mg/24 hrs DI: 1 al dia por 30 días. NC: Nicotinell. Bupropion 150 mg. DI: 1 diario por 7 semanas. (*) Vareniclina 0,5-1mg. DI: 0,5 mg c 12 hrs por 12 sem. NC: Champix. (*) Terapia cognitivo Conductual.","Clínica: Fumador con Tos y Broncorrea predominio matinal > 3 meses. Dg: Clínico, antecedente de Fumador. Pedir: Rx tórax y Espirometría. (Descartar Cáncer y EPOC) Derivar a Psicología.",
Caidas en adulto mayor,"(*) MG: Ejercicio físico Buscar causa y tratar: Sarcopenia, Bradiarritmia, Hipotension, otras Ortesis: Bastón en J, Andador. en caso de mucha inestabilidad. Adaptar-adecuar casa, uso de lentes (presbicia)","% Sarcopenia, Arritmias, Hipotension ortostatica, Farmacos, Parkinson, Presbicia. Riesgo: Fx caderas, Sd post caídas, Postración, Muerte.",
Calculo renal - Fase 2 de eliminación,"MG: Observar evolucion espontanea: si es < 10 mm o 1 cm. Tamsulosina 0,4 mg. DI: 0,4 mg al dia pre Desayuno por 30 días. si es < 10 mm o 1 cm Urologo: Litotripsia Extra Corporea (LEC): si es > 10 mm o 1 cm. Urologo: Uretroscopia - Cistoscopia: si esta en 1/3 inferior del ureter. Urologo: Nefrolitotomia Percutanea: si es Gigante (coraliforme)","(i) Según tamaño (1cm), y localización al Pielo TAC. (i) Derivar a Urologia, si es mayor de 1 cm o esta en 1/3 inferior de uréter.",
Cancer de Boca – Lengua,IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. Qx: Biopsia TAC con contraste de cuello para Etapificar. Qx: Único curativo: Cirugía del foco primario + Disección ganglionar cervical. RxT y Qxt según criterio de especialista.,"% Cancer epidermoide, Lugar mas frecuente en lengua, luego encias, mucosa yugal (mejillas), paladar. Lesión heterogénea ulcerada y sangrante, de lento crecimiento. (i) Factor de riesgo: Tabaco, VIH (+), VPH virus papiloma humano.",
Cancer de cabeza y cuello,"IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC (*) Endoscopia digestiva alta EDA (*) TAC con contraste de cráneo, cuello y tórax para etapificar. Qx: Biopsia – Biopsia citológica: Punción con aguja fina PAF. Qx: Único curativo: Cirugía del foco primario + Disección ganglionar cervical. RxT y Qxt según criterio de especialista.","% Histología mas frecuente: Carcinoma Epidermoide o Espinocelular o Escamoso o Pavimentoso. Estudio imagenológico en orden NFC-EDA-TAC-PAF. Pronostico según adenopatías comprometidas a la biopsia. (i) PAF: Solo realizar en caso de no encontrar foco primario, por alto riesgo de diseminar a la punción. (i) Factor de riesgo mas importante: Tabaco.",
"Cancer de colon, complicado.",Qx: Hartmann o Resección primaria con Colostomía de descompresión proximal. + Interconsulta a Cirugia - Gastroenterología. + Rx de Abdomen simple. + TAC de abdomen.,"Complicaciones: Obstrucción intestinal o Vólvulo de sigmoides, Perforación intestinal, Diverticulitis Hinchey IV (perforada), trauma de colon, colopatía isquémica. (i) Clínica: Dolor abdominal cólico, vómitos alimentarios - fecaloideos, Distensión abdominal progresiva, no elimina gases, Bazuqueo o aumento de RHA (tono metálico), Silencio abdominal y Signos peritoneales en casos avanzados. Pedir: Rx de abdomen simple: nivel hidroaéreo y asas dilatadas.",
"Cancer de colon, no obstructivo.","Colonoscopia previa preparación colónica. (*) Qx: Cirugia, desde Hemicolectomía hasta Colectomía total radical + Ganglios (*) Quimioterapia.","Alarma: Constipación en adulto mayor u obstrucción intestinal. Antecedente: Crohn, Colitis ulcerosa, Diverticulosis. (i) Marcadores: CAE (solo para seguimiento post Qx; Antígeno Carcinoembrionario). Tipos genéticos: Hiperplásico no polipósico (HNPCC), Polipósico familiar (PAF).",
Cancer de Esofago,Endoscopia digestiva alta + Endosonografía + Biopsia. TAC con cte de Torax y abdomen: Etapificacion. (*) Qx: Esofagectomía por especialista. QxT y RxT Derivar a Gastroenterología. Interconsulta por Disfagia a Fonoaudiología - Nutricionista.,"% Virus papiloma humano (VPH). ERGE, Tabaco. (i) Disfagia Lógica progresiva + Sd. Constitucional. Antecedente de Cigarro (Espinocelular), Reflujo gastroesofágico o Esofago de Barret (Adenocarcinoma). Etapificación con Endosonografía y TAC de tórax y abdomen.",
Cancer de Faringe,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC Qx: Biopsia TAC con contraste de cuello. RxT y Qxt según criterio de especialista.,"Clinica: Obstrucción de tuba faringo timnpanica, disfunción tubárica, Otitis media con efusion en adultos (es cancer hasta que no se demuestre), (i) Factor de riesgo: Tabaco, VPH virus papiloma humano. (i) No se opera.",
Cancer de Hipofaringe,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC Qx: Biopsia TAC con contraste de cuello. Qx: por especialista. RxT y Qxt según criterio de especialista.,"Clinica: Cambio de voz progresivo, refiere que “suena distinta”, no es disfonia, odinofagia, disfagia progresiva. (i) Factor de riesgo: Tabaco, VPH virus papiloma humano.",
Cancer de Laringe – Glotico,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC Qx: Biopsia TAC con contraste de cuello. Qx: Laringectomia radical con Traqueostomia. RxT y Qxt según criterio de especialista.,"Afecta a las cuerdas vocales. Clinica: Inicia con Disfonia cronica (mas de 21 dias), voz leñosa o rasposa. Mejor pronostico por inicio de síntomas y ausencia de drenaje linfático de cuerdas vocales. (i) Factor de riesgo: Tabaco. (i) Cancer glótico localizado manejo solo con RxT sin QxT.",
Cancer de Laringe – Infraglotico,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC TAC con contraste de cuello. Qx: Biopsia con laringoscopia directa. Qx: Biopsia + Laringectomia radical con Traqueostomia. RxT y Qxt según criterio de especialista.,"Afecta al cricoides y cartílago tiroides. Mal pronostico por tardío diagnostico e invasión a tráquea/esófago. Clinica: Cuadro progresivo de Disnea, Disfonia, Hemoptisis. (i) Factor de riesgo: Tabaco.",
Cancer de Laringe – Supraglotico,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC Qx: Biopsia TAC con contraste de cuello. Qx: Laringectomia radical con Traqueostomia. RxT y Qxt según criterio de especialista.,"Afecta a la aritenoides y epiglotis. Clinica: Prurito laríngeo progresivo, tos seca cronica, evoluciona a Disnea progresiva y luego Disfonia progresiva con Estridor Inspiratorio o Quejido al inspirar. (i) Factor de riesgo: Tabaco.",
Cancer de Orofaringe,IC a Cirugía - IC a Otorrinolaringólogo ORL Búsqueda de origen primario: Físico y anamnesis detallada. (*) Nasofibroscopia NFC Qx: Biopsia TAC con contraste de cuello. Qx: por especialista. RxT y Qxt según criterio de especialista.,"Clinica: Disfagia, Odinofagia progresiva. Síntomas tipo B. (i) Factor de riesgo: Tabaco, VPH virus papiloma humano.",
Cancer de Pancreas,TAC de Abdomen. Derivar a Gastroenterología - Oncología.,"Ictericia maligna sin dolor, Colestasia (> FA y GGT), Bil. Directa. Dg: TAC de abdomen. (i) Ecografía abdominal: muestra dilatación a nivel de colédoco o páncreas, o tumor, pedir de inmediato TAC de abdomen. (i) Antecedente de Depresión, Diabetes (DM2), Disminución de peso.",
Cancer de Pelvis renal - Urotelio,Qx: Nefroureterectomia por siembras.,Dg: URO TAC - Citologia (i) Da siembra de celulas cancerosas.,
Cancer de Prostata - Avanzado (Metastasis),Hormonoterapia con GnRH (agonista / Antagonista); frenar eje HHT.,"(i) APE + TR anual, sobre 50-70 años. Con antecedentes 40-70. (i) Pedir Biopsia Trans rectal: APE +4 ng/ml, Vel. APE +0.75 delta anual, TR (anormal). (i) Pronostico: APE+ Biopsia (Gleasson) +TR (i) Etapificacion: RNM pelvis+APE+ Cintigrafia Osea* (Pedir*: dolor oseo o APE+20 ng/dl).",
Cancer de Prostata - Localizado (>70 años),"MG: Observar (ac) Braqui - Radioterapia, ej: Cobalto radioactivo.","(i) APE + TR anual, sobre 50-70 años. Con antecedentes 40-70. (i) Pedir Biopsia Trans rectal: APE +4 ng/ml, Vel. APE +0.75 delta anual, TR (anormal). (i) Pronostico: APE+ Biopsia (Gleasson) +TR (i) Etapificacion: RNM pelvis+APE+ Cintigrafia Osea* (Pedir*: dolor oseo o APE+20 ng/dl).",
Cancer de Prostata - Localizado (<70 años),"(*) Qx Prostatectomia Radical (ac) Braqui-Radioterapia, ej: Cobalto radiactivo.","(i) APE + TR anual, sobre 50-70 años. Con antecedentes 40-70. (i) Pedir Biopsia Trans rectal: APE +4 ng/ml, Vel. APE +0.75 delta anual, TR (anormal). (i) Pronostico: APE+ Biopsia (Gleasson) +TR (i) Etapificacion: RNM pelvis+APE+ Cintigrafia Osea* (Pedir*: dolor oseo o APE+20 ng/dl).",
Cancer de Recto,(*) Recto/Colonoscopia con Endosonografía y Biopsia. TAC con cte de Torax (metastasis). RNM pelvis (etapificación). Qx: Cirugia por especialista + Radioterapia.,"Dolor anal (Disquecia), Tenesmo, sensación de masa anal. Antecedentes: VIH, Colitis ulcerosa, VPH. Metástasis a pulmón: Pedir TAC con cte de Tórax. Complicación de Radioterapia: Rectitis actínica.",
Cancer de Ureter - Urotelio,"Qx: Ureterectomia con ""pastilla"" Vesical, por siembras de celulas cancerosas.",(i) Hematuria Continua Pedir: Estudio Hematuria (Orina/Imagenes/Cistoscopia) Dg: Uro TAC - Citologia Urinaria: Displasias uroteliales,
Cancer de Vejiga,Reseccion transuretral (RTU) + Inyección de BCG; NO invasión del Detrusor. Qx: Cistectomia Radical + RxT/ QxT; SI invade al Detrusor.,"% 1° Hematuria Mono sintomática, Terminal, también con IOU o síntomas irritativos. Pedir: OC+UroC / Uro TAC - Eco Pelvica+Renal / Cistoscopia. (i) Dg: Cistoscopia + Biopsia (i) Antecedente de Tabaco, Anilinas (Industria textil). (i) Pronostico: Invasión del M. Detrusor.",
Cancer de Vesicula biliar,"Interconsulta a Oncología - Gastroenterología. Quimioterapia Radioterapia. + Pedir: Creatinina, VFGE. TAC con cte de Torax, abdomen y pelvis.","(i) Factores de riesgo: Colecistitis crónica: Porcelana - Escleroatrófica. Antecedentes familiares de cáncer de vesícula. Colelitiasis. Pedir: TAC con cte de tórax, abdomen y pelvis.",
Cancer de via biliar - Colangiocarcinoma,Colangio RNM Derivar a Oncología - Gastroenterología.,"Ictericia maligna, sin dolor, Colestasia (> FA y GGT), Bil. Directa. Imagen en orden: Ecografía abdominal - Colangio RNM: Elección para via biliar.",
Cancer gastrico - Sindrome Pilorico,"(*) Endoscopia digestiva alta + Biopsia. TAC con cte de Tórax, Abdomen y Pelvis Derivar a Gastroenterología para manejo. Cáncer Gástrico Incipiente: Qx: Gastrectomía parcial/ total. Cáncer Gástrico Avanzado: Qx Gastrectomía + Quimio/Radioterapia.","(i) 1a Causa de muerte por cáncer en hombres - Banderas de alarmas (+) Síndrome Pilórico: Vómitos post comidas. Masa epigástrica, dolor tipo urente, Adenopatía supraclavicular (Virchow). Antecedente: Gastropatía crónica (Úlcera gástrica, H. Pylori), Alcohol, Cigarro, Familiar con cáncer gástrico. Manejo segun resultado de Biopsia: Incipiente no pasa la capa muscular. Avanzado traspasa la capa muscular - Serosa.",
